user_name,user_post_url,user_content,user_timestamp,user_replying_to,user_image_alts,user_likes,user_replies,user_reposts,user_shares,brand_reply_url,brand_reply_content,brand_reply_timestamp,brand_replying_to,brand_reply_image_alts,brand_reply_likes,brand_reply_replies,brand_reply_reposts,brand_reply_shares
luckydertravels,https://www.threads.com/@luckydertravels/post/DRKyk-5kQhB,好啊 必勝客我最愛的海鮮跟章魚燒都沒了 再見了啊🙄,2025年11月18日 星期二 上午3:02,,,,1,,,https://www.threads.com/@dominospizza_tw/post/DRLMjzpE5wX,早安！達美樂五折優惠迎接你,2025年11月18日 星期二 上午6:49,,,1,,,
guagua1188,https://www.threads.com/@guagua1188/post/DRKSN84Cddr,我這輩子只吃達美樂了,2025年11月17日 星期一 下午10:19,,,6,1,,2,https://www.threads.com/@dominospizza_tw/post/DRLJTWmE6X2,我這輩子大門為你而開,2025年11月18日 星期二 上午6:21,,,9,,,
danise_5441807,https://www.threads.com/@danise_5441807/post/DRKSwYZk5GZ,我變心愛上你ㄌ,2025年11月17日 星期一 下午10:24,@dominospizza_tw,,2,1,,,https://www.threads.com/@dominospizza_tw/post/DRKfNjUif_t,😘,2025年11月18日 星期二 上午12:13,,,,,,
sion_98989,https://www.threads.com/@sion_98989/post/DRKRutREpc4,請問達美樂夏威夷披薩醬料有辣嗎？有時候吃起來沒辣，有時候又有淡淡地辣味。想抓住小編確認一下🥹,2025年11月17日 星期一 下午10:15,@dominospizza_tw,,,1,,,https://www.threads.com/@dominospizza_tw/post/DRKR1kAkfvk,披薩醬本身沒有辣喔喔喔！ 可能是其他的配料,2025年11月17日 星期一 下午10:16,,,,1,,
chi1ren,https://www.threads.com/@chi1ren/post/DRKJTpYkZXL,想吃披薩 推薦一下 除了達美樂之外🍕 2 / 2,2025年11月17日 星期一 下午9:02,@chi1ren,,22,7,,4,https://www.threads.com/@dominospizza_tw/post/DRKOpr1kfCx,還是達美樂,2025年11月17日 星期一 下午9:48,,,1,1,,
yuan____0521,https://www.threads.com/@yuan____0521/post/DRKFrnXEjjk,從今天起永和鄉親aka我們家只吃達美樂了🥺,2025年11月17日 星期一 下午8:30,,,16,2,,,https://www.threads.com/@dominospizza_tw/post/DRKOi0mEaYS,好喔👌,2025年11月17日 星期一 下午9:47,,,8,1,,
,https://www.threads.com/@pizzahut.taiwan/post/DRJCIJFkhX2,pizzahut.taiwan 雖然遺憾，但是祝福 謝謝你 #章魚燒,2025年11月17日 星期一 上午10:40,,"Photo by 必勝客 Pizza Hut Taiwan on November 16, 2025.",35000,2835,2463,25000,https://www.threads.com/@dominospizza_tw/post/DRKOadXEZR4,好心疼😔 我們給你五折優惠！日式章魚燒披薩陪伴你,2025年11月17日 星期一 下午9:46,,,17,1,,
manman_days,https://www.threads.com/@manman_days/post/DRKOOiakkwX,今天版面上都是必勝客章魚燒的悲報 但比起這個 達美樂的肉桂巴掌麵包可以回來嗎🥺,2025年11月17日 星期一 下午9:45,,,,2,,,https://www.threads.com/@dominospizza_tw/post/DRKOSpfEUYH,我看到了,2025年11月17日 星期一 下午9:45,,,,1,,
eatsisternetcold,https://www.threads.com/@eatsisternetcold/post/DRKFOr6kcCW,不！！！我必勝客只吃和風章魚燒欸 到底是誰在衝康 蛤 最該下架的不是夏威夷嗎？？？,2025年11月17日 星期一 下午8:26,,"Photo by 必勝客 Pizza Hut Taiwan on November 16, 2025.",2,3,,1,https://www.threads.com/@dominospizza_tw/post/DRKFYu3EYAC,🫂 不要哭 你還有我,2025年11月17日 星期一 下午8:27,,,6,1,,
liliwen_0302,https://www.threads.com/@liliwen_0302/post/DRJkmxAExff,"必勝客
章魚燒口味確實無法被取代 所以我去點達美樂吧",2025年11月17日 星期一 下午3:41,,"Photo by 必勝客 Pizza Hut Taiwan on November 16, 2025.",1,2,,1,https://www.threads.com/@dominospizza_tw/post/DRKFHwCkdk-,好！五折特價！,2025年11月17日 星期一 下午8:25,,,2,1,,
